Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Thu Apr 13 2023,SPXW230413C04075000,50.05,8.45,59.7,60,18,0.1653,0.5587,0.0031,1060,4075.00,SPXW230413P04075000,42.65,-19.05,42.7,43,28,0.1652,-0.4413,0.0031,1
Thu Apr 13 2023,SPXW230413C04080000,56.3,17.8,56.7,57,14,0.1643,0.5435,0.0031,80,4080.00,SPXW230413P04080000,46.9,-17.25,44.7,45,62,0.164,-0.4564,0.0031,5
Thu Apr 13 2023,SPXW230413C04085000,50.68,50.68,53.7,54.1,11,0.1632,0.5281,0.0031,0,4085.00,SPXW230413P04085000,45.6,45.6,46.7,47.1,22,0.163,-0.4719,0.0031,0
Thu Apr 13 2023,SPXW230413C04090000,48.16,48.16,50.9,51.2,7,0.1622,0.5125,0.0032,0,4090.00,SPXW230413P04090000,55.8,55.8,48.9,49.2,10,0.1618,-0.4875,0.0032,0
Thu Apr 13 2023,SPXW230413C04095000,0,0,48.1,48.4,0,0.1611,0.4966,0.0032,0,4095.00,SPXW230413P04095000,0,0,51.1,51.4,0,0.1609,-0.5034,0.0032,0
Thu Apr 13 2023,SPXW230413C04100000,44.9,15.25,45.4,45.7,93,0.1601,0.4806,0.0032,458,4100.00,SPXW230413P04100000,52.3,-22.7,53.4,53.7,31,0.1599,-0.5194,0.0032,15
Fri Apr 14 2023,SPXW230414C04075000,61.93,18.08,62.3,62.6,66,0.1669,0.5578,0.0029,1969,4075.00,SPXW230414P04075000,45.15,-18.6,44.9,45.2,38,0.1667,-0.4421,0.0029,115
Fri Apr 14 2023,SPXW230414C04080000,57,15.65,59.3,59.6,203,0.1659,0.5433,0.003,500,4080.00,SPXW230414P04080000,49.26,-16.94,46.9,47.2,147,0.1655,-0.4566,0.003,110
Fri Apr 14 2023,SPXW230414C04085000,53.75,14.8,56.3,56.6,180,0.1647,0.5286,0.003,481,4085.00,SPXW230414P04085000,49.4,-19.4,48.9,49.2,113,0.1644,-0.4713,0.003,54
Fri Apr 14 2023,SPXW230414C04090000,50.7,14.1,53.4,53.7,36,0.1635,0.5137,0.003,660,4090.00,SPXW230414P04090000,52,-19.45,51,51.3,127,0.1635,-0.4863,0.003,83
Fri Apr 14 2023,SPXW230414C04095000,49.23,14.93,50.6,50.9,81,0.1625,0.4985,0.003,270,4095.00,SPXW230414P04095000,56,-18.15,53.2,53.5,14,0.1624,-0.5014,0.003,58
Fri Apr 14 2023,SPXW230414C04100000,47.8,15.75,47.9,48.2,339,0.1615,0.4832,0.0031,3243,4100.00,SPXW230414P04100000,56.6,-20.35,55.5,55.8,143,0.1613,-0.5168,0.0031,1037
Mon Apr 17 2023,SPXW230417C04075000,64.7,17.8,65.3,65.6,7,0.1591,0.5574,0.0028,51,4075.00,SPXW230417P04075000,47.47,-18.63,47.2,47.6,54,0.1589,-0.4423,0.0028,311
Mon Apr 17 2023,SPXW230417C04080000,61.9,18.15,62.2,62.6,99,0.1581,0.5437,0.0028,26,4080.00,SPXW230417P04080000,51,-17.4,49.2,49.5,39,0.158,-0.4561,0.0028,13
Mon Apr 17 2023,SPXW230417C04085000,56.35,56.35,59.3,59.6,6,0.1571,0.5296,0.0028,0,4085.00,SPXW230417P04085000,51.55,51.55,51.2,51.5,3,0.1569,-0.4701,0.0028,0
Mon Apr 17 2023,SPXW230417C04090000,55.41,16.46,56.4,56.7,9,0.1561,0.5154,0.0029,124,4090.00,SPXW230417P04090000,53.5,-20.15,53.3,53.6,16,0.1559,-0.4843,0.0029,402
Mon Apr 17 2023,SPXW230417C04095000,55.12,55.12,53.6,53.9,7,0.1552,0.501,0.0029,0,4095.00,SPXW230417P04095000,57.7,57.7,55.5,55.8,32,0.155,-0.4987,0.0029,0
Mon Apr 17 2023,SPXW230417C04100000,48.46,13.81,50.8,51.2,78,0.1542,0.4864,0.0029,816,4100.00,SPXW230417P04100000,58.23,-20.87,57.7,58.1,38,0.154,-0.5133,0.0029,324
Tue Apr 18 2023,SPXW230418C04075000,57.4,8.3,67.5,67.9,7,0.1601,0.5574,0.0027,8,4075.00,SPXW230418P04075000,65.94,0,48.9,49.3,0,0.1598,-0.4423,0.0027,10
Tue Apr 18 2023,SPXW230418C04080000,47.26,0,64.5,64.8,0,0.1591,0.5441,0.0027,35,4080.00,SPXW230418P04080000,0,0,50.9,51.2,0,0.1588,-0.4556,0.0027,0
Tue Apr 18 2023,SPXW230418C04085000,59.1,59.1,61.5,61.9,5,0.1582,0.5306,0.0028,0,4085.00,SPXW230418P04085000,0,0,52.9,53.2,0,0.1578,-0.4691,0.0028,0
Tue Apr 18 2023,SPXW230418C04090000,48.97,7.92,58.6,59,8,0.1572,0.5169,0.0028,25,4090.00,SPXW230418P04090000,82.04,0,55,55.3,0,0.1568,-0.4829,0.0028,2
Tue Apr 18 2023,SPXW230418C04095000,46.1,46.1,55.8,56.1,11,0.1562,0.503,0.0028,0,4095.00,SPXW230418P04095000,59.7,59.7,57.1,57.5,7,0.156,-0.4968,0.0028,0
Tue Apr 18 2023,SPXW230418C04100000,51.68,15.03,53,53.4,13,0.1552,0.4889,0.0028,172,4100.00,SPXW230418P04100000,126.86,0,59.4,59.7,0,0.1549,-0.5108,0.0028,0
Wed Apr 19 2023,SPXW230419C04075000,59.1,7.75,69.9,70.3,50,0.1617,0.5573,0.0026,698,4075.00,SPXW230419P04075000,51.77,-17.88,50.8,51.2,64,0.1614,-0.4424,0.0026,9
Wed Apr 19 2023,SPXW230419C04080000,44.64,0,66.9,67.2,0,0.1606,0.5445,0.0026,32,4080.00,SPXW230419P04080000,53.77,-17.78,52.8,53.1,10,0.1604,-0.4552,0.0026,4
Wed Apr 19 2023,SPXW230419C04085000,52.69,52.69,63.9,64.3,1,0.1597,0.5315,0.0026,0,4085.00,SPXW230419P04085000,53.9,53.9,54.8,55.1,2,0.1594,-0.4683,0.0026,0
Wed Apr 19 2023,SPXW230419C04090000,0,0,61,61.3,0,0.1587,0.5182,0.0027,0,4090.00,SPXW230419P04090000,57,57,56.8,57.2,12,0.1584,-0.4815,0.0027,0
Wed Apr 19 2023,SPXW230419C04095000,0,0,58.2,58.5,0,0.1577,0.5048,0.0027,0,4095.00,SPXW230419P04095000,0,0,59,59.3,0,0.1574,-0.4949,0.0027,0
Wed Apr 19 2023,SPXW230419C04100000,56.68,17.88,55.4,55.7,15,0.1567,0.4913,0.0027,707,4100.00,SPXW230419P04100000,70.44,-11.66,61.2,61.6,10,0.1565,-0.5084,0.0027,7
Thu Apr 20 2023,SPXW230420C04075000,70.11,16.51,72.9,73.2,16,0.1634,0.5592,0.0025,86,4075.00,SPXW230420P04075000,51.9,-18.75,52.4,52.8,4,0.1632,-0.4408,0.0025,0
Thu Apr 20 2023,SPXW230420C04080000,62.2,11.2,69.8,70.2,5,0.1625,0.5468,0.0025,8,4080.00,SPXW230420P04080000,55.02,-17.98,54.4,54.7,2,0.1622,-0.4532,0.0025,0
Thu Apr 20 2023,SPXW230420C04085000,67.13,67.13,66.8,67.2,3,0.1615,0.5343,0.0026,0,4085.00,SPXW230420P04085000,55.33,55.33,56.3,56.7,2,0.1612,-0.4657,0.0026,0
Thu Apr 20 2023,SPXW230420C04090000,64.03,18.03,63.9,64.2,147,0.1604,0.5216,0.0026,8,4090.00,SPXW230420P04090000,58.84,-19.11,58.4,58.8,260,0.1602,-0.4785,0.0026,0
Thu Apr 20 2023,SPXW230420C04095000,61.18,61.18,61,61.4,9,0.1595,0.5087,0.0026,0,4095.00,SPXW230420P04095000,0,0,60.5,60.9,0,0.1593,-0.4914,0.0026,0
Thu Apr 20 2023,SPXW230420C04100000,55.86,14.61,58.2,58.6,11,0.1585,0.4956,0.0026,142,4100.00,SPXW230420P04100000,84.09,0,62.7,63.1,0,0.1584,-0.5044,0.0026,71
Fri Apr 21 2023,SPXW230421C04080000,71.6,18.3,72.2,72.4,162,0.1637,0.5472,0.0024,514,4080.00,SPXW230421P04080000,58,-16.85,56.2,56.5,188,0.1635,-0.4529,0.0024,483
Fri Apr 21 2023,SPX230421C04085000,67.9,18.35,67.8,68.2,96,0.1605,0.5354,0.0025,673,4085.00,SPX230421P04085000,59.6,-16.85,56.9,57.3,49,0.1605,-0.4647,0.0025,97
Fri Apr 21 2023,SPXW230421C04085000,66.2,15.5,69.1,69.4,358,0.1626,0.5351,0.0025,288,4085.00,SPXW230421P04085000,59.4,-17.9,58.2,58.4,29,0.1626,-0.465,0.0025,287
Fri Apr 21 2023,SPX230421C04090000,66.2,19.4,64.9,65.3,29,0.1596,0.5229,0.0026,1057,4090.00,SPX230421P04090000,61,-18.3,59,59.4,52,0.1596,-0.4772,0.0026,442
Fri Apr 21 2023,SPXW230421C04090000,65.96,17.71,66.2,66.5,129,0.1618,0.5228,0.0025,397,4090.00,SPXW230421P04090000,62.4,-17.35,60.2,60.5,44,0.1615,-0.4773,0.0025,306
Fri Apr 21 2023,SPX230421C04095000,60.44,15.79,62,62.4,35,0.1586,0.5102,0.0026,703,4095.00,SPX230421P04095000,83.08,0,61.1,61.5,0,0.1586,-0.49,0.0026,252
Mon Apr 24 2023,SPXW230424C04075000,77.86,19.61,77.6,78,1,0.1594,0.5587,0.0024,1085,4075.00,SPXW230424P04075000,55,-19.15,56.2,56.6,10,0.1594,-0.4411,0.0024,13
Mon Apr 24 2023,SPXW230424C04080000,54.3,0,74.5,75,0,0.1584,0.5472,0.0024,1,4080.00,SPXW230424P04080000,60,-16.7,58.1,58.5,12,0.1584,-0.4527,0.0024,0
Mon Apr 24 2023,SPXW230424C04085000,0,0,71.5,71.9,0,0.1575,0.5354,0.0024,0,4085.00,SPXW230424P04085000,0,0,60.1,60.5,0,0.1574,-0.4644,0.0024,0
Mon Apr 24 2023,SPXW230424C04090000,68.25,17.85,68.6,69,2,0.1567,0.5235,0.0024,13,4090.00,SPXW230424P04090000,0,0,62.1,62.5,0,0.1565,-0.4763,0.0024,0
Mon Apr 24 2023,SPXW230424C04095000,0,0,65.7,66.1,0,0.1557,0.5115,0.0024,0,4095.00,SPXW230424P04095000,63,63,64.2,64.6,2,0.1556,-0.4883,0.0024,0
Mon Apr 24 2023,SPXW230424C04100000,61.52,15.97,62.9,63.3,34,0.1549,0.4993,0.0024,355,4100.00,SPXW230424P04100000,67.4,-19.25,66.4,66.8,42,0.1546,-0.5005,0.0024,18
Tue Apr 25 2023,SPXW230425C04075000,79.48,19.18,79.7,80.1,8,0.1606,0.5586,0.0023,18,4075.00,SPXW230425P04075000,125.77,0,57.8,58.2,0,0.1604,-0.4412,0.0023,4
Tue Apr 25 2023,SPXW230425C04080000,0,0,76.6,77,0,0.1596,0.5474,0.0023,0,4080.00,SPXW230425P04080000,0,0,59.7,60.1,0,0.1595,-0.4525,0.0023,0
Tue Apr 25 2023,SPXW230425C04085000,0,0,73.6,74,0,0.1587,0.536,0.0023,0,4085.00,SPXW230425P04085000,63,63,61.7,62.1,1,0.1585,-0.4639,0.0023,0
Tue Apr 25 2023,SPXW230425C04090000,0,0,70.6,71,0,0.1577,0.5244,0.0024,0,4090.00,SPXW230425P04090000,0,0,63.7,64.1,0,0.1576,-0.4754,0.0024,0
Tue Apr 25 2023,SPXW230425C04095000,0,0,67.7,68.1,0,0.1568,0.5127,0.0024,0,4095.00,SPXW230425P04095000,0,0,65.8,66.2,0,0.1566,-0.4872,0.0024,0
Tue Apr 25 2023,SPXW230425C04100000,55.86,8.31,64.9,65.3,2,0.1559,0.5008,0.0024,15,4100.00,SPXW230425P04100000,74.18,-14.02,67.9,68.3,3,0.1557,-0.499,0.0024,4
Wed Apr 26 2023,SPXW230426C04075000,81.07,18.62,81.9,82.3,65,0.1619,0.5588,0.0022,911,4075.00,SPXW230426P04075000,58.8,-18.55,59.5,59.9,4,0.1618,-0.441,0.0022,18
Wed Apr 26 2023,SPXW230426C04080000,0,0,78.8,79.2,0,0.1609,0.5479,0.0022,0,4080.00,SPXW230426P04080000,0,0,61.4,61.8,0,0.1608,-0.452,0.0022,0
Wed Apr 26 2023,SPXW230426C04085000,0,0,75.8,76.2,0,0.16,0.5368,0.0023,0,4085.00,SPXW230426P04085000,0,0,63.3,63.7,0,0.1599,-0.4631,0.0023,0
Wed Apr 26 2023,SPXW230426C04090000,0,0,72.8,73.2,0,0.159,0.5256,0.0023,0,4090.00,SPXW230426P04090000,64.65,64.65,65.3,65.7,2,0.1589,-0.4743,0.0023,0
Wed Apr 26 2023,SPXW230426C04095000,0,0,69.9,70.3,0,0.1581,0.5142,0.0023,0,4095.00,SPXW230426P04095000,0,0,67.4,67.8,0,0.158,-0.4857,0.0023,0
Wed Apr 26 2023,SPXW230426C04100000,65.6,16.05,67.1,67.5,2,0.1573,0.5026,0.0023,139,4100.00,SPXW230426P04100000,131.69,0,69.5,69.9,0,0.157,-0.4972,0.0023,5
Thu Apr 27 2023,SPXW230427C04075000,75.23,10.13,84.7,85.2,2,0.1636,0.5609,0.0022,25,4075.00,SPXW230427P04075000,62.83,-15.92,60.9,61.3,17,0.1635,-0.4392,0.0022,14
Thu Apr 27 2023,SPXW230427C04080000,76.2,76.2,81.6,82.1,7,0.1626,0.5503,0.0022,0,4080.00,SPXW230427P04080000,0,0,62.7,63.1,0,0.1625,-0.4498,0.0022,0
Thu Apr 27 2023,SPXW230427C04085000,68.3,68.3,78.6,79,7,0.1616,0.5395,0.0022,0,4085.00,SPXW230427P04085000,0,0,64.7,65.1,0,0.1616,-0.4606,0.0022,0
Thu Apr 27 2023,SPXW230427C04090000,77.2,77.2,75.6,76,8,0.1607,0.5286,0.0022,0,4090.00,SPXW230427P04090000,0,0,66.7,67.1,0,0.1606,-0.4715,0.0022,0
Thu Apr 27 2023,SPXW230427C04095000,0,0,72.6,73.1,0,0.1597,0.5176,0.0022,0,4095.00,SPXW230427P04095000,0,0,68.7,69.1,0,0.1596,-0.4825,0.0022,0
Thu Apr 27 2023,SPXW230427C04100000,67.3,15.1,69.8,70.2,1,0.1587,0.5064,0.0022,27,4100.00,SPXW230427P04100000,72.9,-17.85,70.8,71.2,19,0.1587,-0.4937,0.0022,7
Fri Apr 28 2023,SPXW230428C04075000,85.7,17.65,87.6,87.9,45,0.1669,0.5594,0.0021,1038,4075.00,SPXW230428P04075000,64,-17.55,63.7,64,383,0.1666,-0.4407,0.0021,338
Fri Apr 28 2023,SPXW230428C04080000,82.95,17.55,84.5,84.8,124,0.1658,0.5492,0.0021,325,4080.00,SPXW230428P04080000,67.4,-16.45,65.6,65.9,133,0.1657,-0.4509,0.0021,97
Fri Apr 28 2023,SPXW230428C04085000,78.97,16.27,81.5,81.8,15,0.165,0.5389,0.0021,132,4085.00,SPXW230428P04085000,69.31,-16.84,67.5,67.8,157,0.1647,-0.4612,0.0021,51
Fri Apr 28 2023,SPXW230428C04090000,75.5,15.45,78.5,78.8,39,0.164,0.5284,0.0021,378,4090.00,SPXW230428P04090000,70.68,-17.82,69.5,69.8,103,0.1638,-0.4717,0.0021,100
Fri Apr 28 2023,SPXW230428C04095000,76.6,19.05,75.5,75.8,22,0.163,0.5178,0.0022,306,4095.00,SPXW230428P04095000,71.07,-19.83,71.5,71.8,10,0.1629,-0.4823,0.0022,11
Fri Apr 28 2023,SPXW230428C04100000,71,16.05,72.6,72.9,485,0.1621,0.507,0.0022,4200,4100.00,SPXW230428P04100000,73.8,-19.65,73.6,73.9,521,0.1619,-0.4931,0.0022,528
Mon May 01 2023,SPXW230501C04070000,91,17.95,93,93.5,4,0.1639,0.5691,0.002,0,4070.00,SPXW230501P04070000,63.88,-17.17,63.6,64,17,0.1639,-0.4307,0.002,2
Mon May 01 2023,SPXW230501C04075000,90.26,20.01,89.9,90.4,2,0.163,0.5593,0.002,0,4075.00,SPXW230501P04075000,67.35,-15.95,65.4,65.8,31,0.1629,-0.4405,0.002,3
Mon May 01 2023,SPXW230501C04080000,87.22,19.72,86.8,87.3,6,0.162,0.5494,0.002,0,4080.00,SPXW230501P04080000,69.5,-16,67.3,67.7,5,0.162,-0.4505,0.002,0
Mon May 01 2023,SPXW230501C04090000,81.23,19.03,80.7,81.2,10,0.1602,0.5291,0.0021,0,4090.00,SPXW230501P04090000,72.48,-17.92,71.2,71.6,5,0.1601,-0.4707,0.0021,0
Mon May 01 2023,SPXW230501C04100000,75.28,18.13,74.9,75.3,5,0.1584,0.5084,0.0021,5,4100.00,SPXW230501P04100000,78.13,-16.97,75.3,75.7,16,0.1583,-0.4915,0.0021,4
Mon May 01 2023,SPXW230501C04110000,62.58,62.58,69.2,69.7,2,0.1566,0.4871,0.0021,0,4110.00,SPXW230501P04110000,79.78,79.78,79.6,80,1,0.1564,-0.5127,0.0021,0
Tue May 02 2023,SPXW230502C04070000,0,0,95.1,95.6,0,0.1651,0.569,0.002,0,4070.00,SPXW230502P04070000,0,0,65,65.5,0,0.1648,-0.4308,0.002,0
Tue May 02 2023,SPXW230502C04075000,90.6,90.6,91.9,92.4,2,0.1642,0.5594,0.002,0,4075.00,SPXW230502P04075000,0,0,66.9,67.3,0,0.1639,-0.4404,0.002,0
